"uri","label","comment","range","range > uri","sub class of","sub class of > uri","type","type > uri","unit","unit > uri"
"http://landregistry.data.gov.uk/def/ukhpi/MonthlyIndicesByRegion","UK house price indices","A distinguished subclass of qb:Observation containing raw and cleansed aggregated data used to calculate the Land Registry England and Wales, Registers of Scotland and Registers of Northern Ireland monthly House Price Indices",,,"Observation","http://purl.org/linked-data/cube#Observation",,"http://www.w3.org/2002/07/owl#Class",,
"http://landregistry.data.gov.uk/def/ukhpi/MonthlyIndicesByRegion","UK house price indices","A distinguished subclass of qb:Observation containing raw and cleansed aggregated data used to calculate the Land Registry England and Wales, Registers of Scotland and Registers of Northern Ireland monthly House Price Indices",,,"Observation","http://purl.org/linked-data/cube#Observation",,"http://www.w3.org/2000/01/rdf-schema#Class",,
"http://landregistry.data.gov.uk/def/ukhpi/averagePrice","Average price","Average price at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.  For further information see: http://www.ons.gov.uk/economy/inflationandpriceindices/methodologies/developmentofasingleofficialhousepriceindex ","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePrice","Average price","Average price at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.  For further information see: http://www.ons.gov.uk/economy/inflationandpriceindices/methodologies/developmentofasingleofficialhousepriceindex ","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceCash","Average price for a cash sale property","Average price for a property bought wholly as a Cash Sale at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceCash","Average price for a cash sale property","Average price for a property bought wholly as a Cash Sale at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceDetached","Average price for a detached property","Average price for a detached property at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceDetached","Average price for a detached property","Average price for a detached property at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceExistingProperty","Average price for an existing property","Average price for an existing property bought at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceExistingProperty","Average price for an existing property","Average price for an existing property bought at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceFirstTimeBuyer","Average price for a first time buyer sale","Average price for a property bought by a First Time Buyer at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceFirstTimeBuyer","Average price for a first time buyer sale","Average price for a property bought by a First Time Buyer at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceFlatMaisonette","Average price for a flat or maisonette property","Average price for a flat or maisonette at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceFlatMaisonette","Average price for a flat or maisonette property","Average price for a flat or maisonette at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceFormerOwnerOccupier","Average price for a former owner occupier buyer sale","Average price for a property bought by a Former Owner Occupier Buyer at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceFormerOwnerOccupier","Average price for a former owner occupier buyer sale","Average price for a property bought by a Former Owner Occupier Buyer at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceMortgage","Average price for a mortgaged sale property","Average price for a property bought as a Mortgaged Sale at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceMortgage","Average price for a mortgaged sale property","Average price for a property bought as a Mortgaged Sale at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceNewBuild","Average price for a new build property","Average price for a New Build property bought at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://purl.org/linked-data/cube#MeasureProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
"http://landregistry.data.gov.uk/def/ukhpi/averagePriceNewBuild","Average price for a new build property","Average price for a New Build property bought at Country, Regional, County/Unitary/District Authority and London Borough level, for the given reference period.","integer","http://www.w3.org/2001/XMLSchema#integer",,,,"http://www.w3.org/2002/07/owl#DatatypeProperty","Pound_sterling","http://dbpedia.org/resource/Pound_sterling"
